Zipcode,Median Age,Household Income,Per Capita Income,Employment rate,Has Starbucks
601,36.6,12041,7380,0.308834688,N
602,38.6,15663,8463,0.381046923,N
603,38.9,15485,9176,0.314866904,N
606,37.3,15019,6383,0.306630253,N
610,39.2,16707,7892,0.32189345,N
612,38.5,17848,10188,0.322797737,N
616,40.9,15342,8767,0.309731906,N
617,36.2,14982,7939,0.27489047,N
622,42,14281,8751,0.246877534,N
623,39.7,17389,9326,0.286439692,N
624,34.2,14768,6761,0.341673244,N
627,37.9,19527,9112,0.349393783,N
631,43.9,11596,6561,0.329708071,N
637,38.8,16430,8045,0.329532725,N
638,37.2,13860,6526,0.252641127,N
641,38.7,14924,7479,0.30321371,N
646,37.5,28306,14374,0.391927525,N
647,41.3,13925,7384,0.314893617,N
650,36.2,16133,7038,0.317122052,N
652,40.1,12809,9406,0.286622363,N
653,36.6,12595,6465,0.282742738,N
656,36.5,15054,7534,0.295153977,N
659,37.9,19199,9428,0.366641229,N
660,42.4,21107,10609,0.357063728,N
662,38.4,15600,8124,0.298931894,N
664,33.9,19342,7841,0.351041919,N
667,39.6,14081,6763,0.230336861,N
669,37.7,11790,6600,0.30133867,N
670,37.7,15817,7016,0.312622562,N
674,37.9,18048,9838,0.33693669,N
676,35.8,14697,7700,0.318869626,N
677,41.3,15875,8986,0.365634101,N
678,37.5,14877,7274,0.273752249,N
680,38.6,15115,8745,0.318643644,N
682,35,15067,10869,0.301977914,N
683,40.6,15587,9178,0.287094073,N
685,39.7,14623,7192,0.286718955,N
687,33.8,14797,7060,0.32754761,N
688,40.1,14148,6757,0.224512744,N
690,33.8,19474,9251,0.358945864,N
692,35,18500,9273,0.314796108,N
693,37.4,16406,9051,0.276427895,N
694,70.5,10750,7616,0.082802548,N
698,39.2,15099,7491,0.330678258,N
703,35.5,14673,7734,0.280176997,N
704,34.2,12612,7229,0.339392399,N
705,37.5,15892,8868,0.277499704,N
707,39.1,18446,8134,0.322120961,N
714,35.6,16350,8208,0.340893895,N
715,41.1,14114,10149,0.325376593,N
716,37.6,18878,11773,0.368178993,N
717,32.9,12407,9120,0.350489651,N
718,34.5,17123,9038,0.339148952,N
719,35.7,16672,8819,0.270645926,N
720,35.1,14903,6687,0.301039861,N
723,39.4,14506,7851,0.334647947,N
725,37.3,20926,11273,0.393177837,N
727,38.2,29433,15088,0.431299586,N
728,36.4,18637,9100,0.359950342,N
729,35.2,22438,10534,0.411499416,N
730,37,16259,9768,0.35126941,N
731,40.9,15733,8126,0.364130809,N
735,38.7,19615,9433,0.330640978,N
736,37.7,21206,11711,0.395397084,N
738,38.4,22140,10894,0.404151687,N
739,37.1,24638,11703,0.424611486,N
740,27.7,11026,6968,0.40625,N
741,41.3,18397,8944,0.328159204,N
745,37.3,23275,10634,0.413306267,N
751,36,13565,7815,0.312249253,N
754,37.3,17904,10004,0.349541284,N
757,34.3,18033,9412,0.344324394,N
765,41.9,17500,8414,0.366717358,N
766,34.5,16517,7944,0.376514947,N
767,37.7,17306,7960,0.296111319,N
769,35.7,17710,8971,0.318592915,N
771,36,18553,9367,0.339133597,N
772,35.5,16432,7622,0.410602432,N
773,38.4,18593,10408,0.406667336,N
775,38.4,16188,8142,0.427604871,N
777,34.9,18574,9471,0.364570087,N
778,36,27475,13892,0.41330326,N
780,38.1,21706,13433,0.421299747,N
782,36.4,12527,7026,0.25432339,N
783,35.4,16201,7906,0.288241101,N
784,35.2,17540,9170,0.322338042,N
786,47,22656,12059,0.292537313,N
791,38.5,20364,11115,0.341641395,N
794,33,14986,7229,0.26476147,N
795,35.4,17278,8381,0.347751156,N
901,41.7,13620,21534,0.371042831,N
907,47.6,32570,32394,0.477283002,N
909,39.1,16891,11825,0.469204738,N
911,48.3,26611,25328,0.480974325,N
912,38.3,18960,12254,0.512154105,N
913,28.6,6926,10551,0.307328892,N
915,37,13150,7368,0.410033949,N
917,44.7,16802,12357,0.431531838,N
918,39.5,26573,22652,0.473166586,N
920,43.3,25463,14953,0.478263215,N
921,36.2,18417,11498,0.411587047,N
923,37.1,15959,10701,0.407575652,N
924,35,19510,10939,0.404936188,N
925,32.7,12847,9886,0.518103824,N
926,40,35308,21058,0.446924089,N
927,45.6,34572,28433,0.439895698,N
934,26.5,82721,25719,0.395918367,N
949,36.2,25514,12223,0.43889283,N
952,40.3,18768,9362,0.423473104,N
953,34.8,28488,12741,0.418004806,N
956,38.1,22212,10765,0.432372879,N
957,37.1,23736,11453,0.390512843,N
959,39.2,26264,14448,0.433735437,N
961,41.3,29931,15555,0.415741336,N
962,34.7,16128,8444,0.388313303,N
965,36,16139,7683,0.435358255,N
966,42,52463,34449,0.50674974,N
968,56.4,41936,36866,0.477349943,N
969,39.6,50811,26581,0.464098606,N
971,40.7,23241,13223,0.475435712,N
976,36.3,30372,15048,0.415968574,N
979,46.4,37906,26361,0.490398818,N
982,42.6,26148,13244,0.434385792,N
983,36.8,27125,13949,0.432892522,N
985,39.7,25509,12127,0.424110445,N
987,36.3,31546,14072,0.449548244,N
1001,43.7,58733,28457,0.557089011,N
1002,22.9,54422,27691,0.54472767,N
1005,42.2,68644,31686,0.539768484,N
1007,41.3,71875,32222,0.576978123,N
1008,47.1,71635,32457,0.61451049,N
1009,44,38644,26422,0.587988827,N
1010,45.4,81196,36406,0.597248968,N
1011,43.6,64891,26847,0.560113154,N
1012,51,58750,30189,0.596187175,N
1013,35.5,41273,20889,0.496450052,N
1020,43.4,51255,27207,0.529619574,N
1022,37.4,58938,29618,0.553686471,N
1026,47.9,52155,31585,0.54115421,N
1027,43.2,59963,31327,0.613689293,N
1028,45.5,80469,36171,0.544132524,N
1029,53.1,54330,33352,0.526845638,N
1030,44.4,71228,31992,0.574624226,N
1031,43.1,42404,28090,0.520215633,N
1032,49.1,61806,33395,0.640350877,N
1033,44.9,73816,31069,0.584600453,N
1034,46.2,77500,32908,0.582336707,N
1035,45,73250,36471,0.563951275,N
1036,48.4,81130,35699,0.572041334,N
1037,53.6,84444,42109,0.533653846,N
1038,47.7,61603,36282,0.575564972,N
1039,50.2,72188,36880,0.624521073,N
1040,36,31628,19968,0.434260161,N
1050,41.5,56184,26597,0.515306122,N
1053,51,64896,25039,0.400733368,N
1054,50.3,73000,40416,0.590676521,N
1056,44.4,61073,31117,0.512213489,N
1057,45,64747,32046,0.588262318,N
1060,34.2,52607,33655,0.631638493,N
1062,43.8,65756,39088,0.552648315,N
1068,44.7,85556,32805,0.57531267,N
1069,42.2,53417,26238,0.53281337,N
1070,54.5,63889,30544,0.566493955,N
1071,44.5,75363,33090,0.600999286,N
1072,47,66705,35493,0.629781421,N
1073,41.2,80000,34196,0.610751956,N
1075,41.6,61431,30643,0.550685547,N
1077,43.4,78476,35587,0.572759631,N
1079,46,34906,29734,0.63030303,N
1080,43.2,40559,22950,0.522862823,N
1081,44.7,56726,30411,0.534351145,N
1082,45.3,51717,28354,0.557569296,N
1083,34.1,39521,22435,0.44788014,N
1084,55.5,51667,31790,0.588516746,N
1085,39.1,59881,28943,0.534515361,N
1088,63,43234,32414,0.352549889,N
1089,39.5,54126,27853,0.54063443,N
1092,32.9,55370,34201,0.585185185,N
1093,52.5,83750,42234,0.737588652,N
1094,54.1,18241,25777,0.394117647,N
1095,48.1,86667,38687,0.531372002,N
1096,44.8,65365,33128,0.571809693,N
1097,22.7,42031,13883,0.722891566,N
1098,52.9,69079,35343,0.587419056,N
1103,33,14133,17095,0.417057903,N
1104,34.7,32273,17307,0.452410865,N
1105,26.6,18402,12137,0.32289644,N
1106,45,103472,53449,0.510987639,N
1107,29.5,21737,12440,0.362700736,N
1108,31.7,34064,18347,0.448301301,N
1109,26.4,33376,13938,0.395367336,N
1118,40.5,62283,29528,0.545401545,N
1119,35.1,46055,21261,0.482022633,N
1128,46.8,78864,33573,0.664100486,N
1129,38,61435,26752,0.560826116,N
1151,30.6,30043,16169,0.419531421,N
1201,43.8,42633,26738,0.520866476,N
1220,43.6,40443,24753,0.548800373,N
1222,45.8,75598,40683,0.714285714,N
1223,50.5,54904,37301,0.573316283,N
1224,23.7,90223,22426,0.655279503,N
1225,46.6,49788,28804,0.578620464,N
1226,47,51827,28082,0.555507807,N
1229,39.5,68125,24606,0.495495495,N
1230,47.1,51467,35004,0.541097561,N
1235,45.2,64420,28315,0.550461741,N
1236,42.8,51964,29869,0.599632128,N
1237,41.5,71932,36849,0.601434835,N
1238,45.3,59477,33848,0.585350113,N
1240,52.7,51464,37359,0.416147779,N
1242,57.3,55167,31279,0.541935484,N
1243,55.3,67411,35263,0.643478261,N
1244,60.3,29125,24298,0.553333333,N
1245,54,52500,37324,0.480716253,N
1247,41.3,41103,22181,0.492043682,N
1253,48.5,67917,36261,0.525606469,N
1254,54.3,95125,50182,0.492477432,N
1255,48,55917,29539,0.533333333,N
1256,44.6,56500,28533,0.558518519,N
1257,49.5,50543,33690,0.545579478,N
1258,60.2,56607,41482,0.661184211,N
1259,51.8,70074,43844,0.588907015,N
1260,46.1,74615,25668,0.525,N
1262,49.7,41648,33165,0.46459825,N
1264,69.6,70625,51626,0.425149701,N
1266,54.6,76953,44493,0.547103978,N
1267,39.3,72352,33717,0.44733876,N
1270,49.2,68456,32940,0.533498759,N
1301,42.9,48319,27354,0.554251376,N
1330,48.5,72560,35226,0.668181818,N
1331,41,50498,23736,0.506015094,N
1337,49.2,58875,31366,0.578765811,N
1338,52.1,69886,39439,0.786982249,N
1339,49.7,50536,29981,0.537883532,N
1340,46.5,49886,29025,0.609304933,N
1341,47.9,77500,37209,0.642367601,N
1342,43.2,99675,46508,0.603585657,N
1343,57.4,81806,38675,0.486842105,N
1344,39,57500,24274,0.577326343,N
1346,54,65000,33809,0.540178571,N
1347,38.5,31250,16610,0.64516129,N
1349,52.1,50714,27191,0.511848341,N
1350,41.5,36875,23709,0.658119658,N
1351,45.5,70799,34353,0.559254328,N
1354,47.8,74583,34215,0.61618799,N
1355,42.1,68929,28963,0.568686869,N
1360,45.5,60608,32021,0.584569733,N
1364,40.2,45758,21734,0.485175879,N
1366,50.2,76094,33059,0.551777434,N
1367,43.3,47279,26501,0.452542373,N
1368,43.7,60750,27999,0.584840655,N
1370,47.9,53516,29074,0.577437394,N
1373,46.4,64127,31811,0.586579599,N
1375,26.9,47000,28057,0.67063922,N
1376,41.9,39792,24108,0.528206058,N
1378,55.4,56094,33914,0.618153365,N
1379,50.3,48188,27732,0.55799373,N
1420,34.7,45363,22620,0.511348432,N
1430,42.4,83532,34454,0.586697173,N
1431,44.8,82778,33228,0.592485549,N
1432,43.3,57543,34502,0.572298541,N
1434,39.6,77396,14154,0.188014101,N
1436,42.4,69076,27831,0.528921313,N
1438,51.9,62422,24617,0.353760446,N
1440,40.7,49067,23297,0.493868943,N
1450,43.6,117127,48248,0.546209186,N
1451,46.8,136058,60872,0.529008864,N
1452,44.6,86979,33730,0.56321055,N
1453,41.2,58896,29382,0.565289498,N
1460,44.1,105455,47502,0.562624474,N
1462,44.2,76063,35866,0.58052896,N
1463,43.1,81193,35689,0.598797767,N
1464,39,65882,24469,0.408338937,N
1467,42.3,181810,57529,0.444723618,N
1468,44,62096,28094,0.600269542,N
1469,40.4,78985,34037,0.581203861,N
1473,43.6,83840,34860,0.589480874,N
1474,44.6,90521,37146,0.621675866,N
1475,44.3,58288,27204,0.519160408,N
1501,44,73612,34644,0.56460936,N
1503,45.5,95962,44297,0.606375606,N
1504,40.6,74294,32488,0.592363033,N
1505,44.7,97938,53378,0.583142464,N
1506,43.5,61800,29391,0.541395624,N
1507,42.2,93963,35678,0.591836735,N
1510,41.3,64723,31765,0.603491272,N
1515,42.7,66042,30172,0.580115402,N
1516,39.8,82831,36503,0.614344023,N
1518,42.6,61719,33795,0.460394199,N
1519,39.1,102300,44302,0.548817931,N
1520,42.3,96780,41173,0.545492546,N
1521,43.6,67684,32734,0.656838657,N
1522,41.3,93238,38120,0.6063593,N
1523,39.2,78283,28387,0.494401042,N
1524,39.3,68899,29142,0.589048991,N
1525,32.7,44857,33626,0.579310345,N
1527,43,71832,32329,0.596124849,N
1529,38.2,82083,29546,0.56990929,N
1531,40.9,82569,30961,0.525166192,N
1532,41.5,108415,43878,0.532934132,N
1534,39,85000,36653,0.551613512,N
1535,42.1,54439,27452,0.549086273,N
1536,40.3,76063,37846,0.565322352,N
1537,40,72607,30326,0.569568755,N
1540,40.3,68986,29658,0.606297094,N
1541,43.8,120607,42921,0.561915888,N
1542,45.4,74273,31085,0.542087542,N
1543,40.3,86482,33229,0.560371517,N
1545,39.2,92360,40098,0.543471539,N
1550,37.5,42471,21579,0.494534377,N
1560,32.8,81667,35305,0.527256676,N
1561,22.7,19637,15914,0.695402299,N
1562,39.1,60197,28983,0.533026506,N
1564,44.2,98872,40536,0.540502615,N
1566,43.2,82750,37893,0.562641681,N
1568,41.2,105208,42387,0.554299556,N
1569,40.9,86164,35249,0.589719006,N
1570,41.4,47885,26411,0.535335478,N
1571,37.2,70590,28240,0.557623416,N
1581,40.4,100905,45929,0.544390616,N
1583,38.9,72107,30780,0.41309431,N
1585,45.7,62667,31262,0.556392596,N
1588,39.2,62649,29244,0.572173913,N
1590,41.7,110658,42341,0.553840993,N
1602,40,62832,31101,0.553296495,N
1603,36.1,48183,22315,0.526437968,N
1604,35.9,49797,27119,0.538824885,N
1605,32.3,37705,21639,0.469005462,N
1606,39.5,66912,32781,0.578917671,N
1607,34.4,45152,24044,0.559562353,N
1608,27.2,19418,11315,0.380550871,N
1609,26.9,40660,23846,0.498064029,N
1610,25.6,30532,14040,0.460857954,N
1611,39.3,67179,33179,0.6388553,N
1612,41.3,106708,35979,0.539538715,N
1701,43.6,86994,39361,0.569683474,N
1702,33.5,53944,29023,0.580194634,N
1718,38.9,132981,62059,0.559766764,N
1719,43.7,101502,61461,0.591719493,N
1720,41.9,109578,53152,0.537057421,N
1721,44,93233,45834,0.613268223,N
1730,43.9,108818,48886,0.521723203,N
1731,17.7,75446,22388,0.380896913,N
1740,43.1,146029,55369,0.562713912,N
