,0,1,Zipcode,Another_Store_Present
465,0.105,0.895,2127,0
23814,0.115,0.885,82636,0
501,0.12,0.88,2210,0
647,0.125,0.875,2802,0
19972,0.135,0.865,68136,0
674,0.145,0.855,2840,0
456,0.165,0.835,2116,0
9816,0.17,0.83,36832,0
547,0.17,0.83,2478,0
476,0.18,0.82,2140,0
20742,0.19,0.81,71115,0
19923,0.195,0.805,68022,0
19633,0.195,0.805,67134,0
14342,0.195,0.805,51231,0
15930,0.2,0.8,56267,0
19730,0.205,0.795,67468,0
457,0.205,0.795,2118,0
3718,0.205,0.795,14486,0
2721,0.215,0.785,11771,0
5492,0.215,0.785,20115,0
10243,0.215,0.785,38311,0
15816,0.215,0.785,56111,0
1940,0.22,0.78,7041,0
5745,0.22,0.78,21702,0
1972,0.24,0.76,7079,0
2532,0.245,0.755,10526,0
9027,0.25,0.75,33547,0
23547,0.25,0.75,80755,0
9330,0.25,0.75,35114,0
2207,0.25,0.75,8002,0
17273,0.25,0.75,60046,0
25266,0.25,0.75,94060,0
17759,0.255,0.745,61736,0
20016,0.26,0.74,68347,0
4127,0.26,0.74,15502,0
2276,0.26,0.74,8085,0
747,0.265,0.735,3071,0
12211,0.27,0.73,45378,0
1916,0.27,0.73,7012,0
5592,0.27,0.73,20839,0
9500,0.275,0.725,35757,0
24878,0.275,0.725,89138,0
5070,0.275,0.725,18083,0
15502,0.275,0.725,55112,0
4624,0.275,0.725,16827,0
13858,0.275,0.725,49930,0
536,0.275,0.725,2460,0
742,0.275,0.725,3060,0
7264,0.28,0.72,27516,0
18326,0.28,0.72,62918,0
19386,0.28,0.72,66503,0
7841,0.28,0.72,29105,0
4688,0.29,0.71,16937,0
912,0.29,0.71,3820,0
2091,0.29,0.71,7661,0
2194,0.295,0.705,7940,0
25316,0.295,0.705,94951,0
16505,0.3,0.7,57645,0
2467,0.3,0.7,8859,0
12852,0.3,0.7,47403,0
450,0.305,0.695,2109,0
2901,0.305,0.695,12406,0
5844,0.305,0.695,22405,0
